input	data/bc5-chemical/characterbert-from_general-128-s1.tsv	data/bc5-chemical/characterbert-general+node2vec-s1.tsv	data/bc5-chemical/characterbert-general-s1.tsv	data/bc5-chemical/enhanced-characterbert-from_general-128+node2vec-s1.tsv	data/bc5-chemical/fasttext-gigaword+node2vec-s1.tsv	data/bc5-chemical/fasttext-gigaword-s1.tsv	data/bc5-chemical/fasttext-mimic+node2vec-s1.tsv	data/bc5-chemical/fasttext-mimic-s1.tsv	data/bc5-chemical/fasttext-pubmed+node2vec-s1.tsv	data/bc5-chemical/fasttext-pubmed-s1.tsv	data/bc5-chemical/fasttext-random+node2vec-s1.tsv	data/bc5-chemical/fasttext-random-s1.tsv
0_famotidine	1	1	1	1	1	1	1	1	1	1	1	0
13_famotidine	1	1	1	1	1	1	1	1	1	1	1	0
69_famotidine	1	1	1	1	1	0	1	1	1	1	1	0
79_famotidine	1	1	1	1	1	1	1	1	1	1	1	0
92_famotidine	1	1	1	1	1	1	1	1	1	1	1	0
98_famotidine	1	1	1	1	1	1	1	1	1	1	1	0
119_famotidine	1	1	1	1	1	1	1	1	1	1	1	0
127_indomethacin	1	1	1	1	1	1	1	1	1	1	1	1
131_sodium	1	1	1	1	1	1	1	1	1	1	1	1
148_indomethacin	1	1	1	1	1	1	1	1	1	1	1	1
150_idm	1	1	1	0	1	0	1	1	1	1	0	0
153_sodium	1	1	1	1	1	1	1	1	1	1	1	1
176_sodium	1	1	1	1	1	1	1	1	1	1	1	1
179_indomethacin	1	1	1	1	1	1	1	1	1	1	1	1
199_indomethacin	1	1	1	1	1	1	1	1	1	1	1	1
203_prostaglandin	1	1	1	1	1	1	1	1	1	1	1	1
217_angiotensin	1	1	1	1	1	1	1	1	1	1	1	1
220_sodium	1	1	1	1	1	1	1	1	1	1	1	1
234_tacrolimus	1	1	1	1	1	1	1	1	1	1	1	1
236_prednisolone	1	1	1	1	1	1	1	1	1	1	1	1
278_corticosteroid	0	0	0	0	0	0	0	0	0	0	0	0
302_cyclosporine	1	1	1	1	1	1	1	1	1	1	1	1
321_tacrolimus	1	1	1	1	1	1	1	1	1	1	1	1
323_corticosteroids	1	0	0	1	1	1	0	1	0	1	1	0
339_tacrolimus	1	1	1	1	1	1	1	1	1	1	1	1
353_methamphetamine	1	1	1	1	1	1	1	1	1	1	1	1
356_methamphetamine	1	1	1	1	1	1	1	1	1	1	1	1
380_methamphetamine	1	1	1	1	1	1	1	1	1	1	1	1
387_methamphetamine	1	1	1	1	1	1	1	1	1	1	0	1
399_methamphetamine	1	1	1	1	1	1	1	1	1	1	1	1
438_methamphetamine	1	1	1	1	1	1	1	1	1	1	1	1
463_methamphetamine	1	1	1	1	1	1	1	1	1	1	1	1
599_methamphetamine	1	1	1	1	1	1	1	1	1	1	1	1
606_methamphetamine	1	1	1	1	1	1	1	1	1	1	1	1
682_methamphetamine	1	1	1	1	1	1	1	1	1	1	0	1
701_methamphetamine	1	1	1	1	1	1	1	1	1	1	1	1
712_methamphetamine	1	1	1	1	1	1	1	1	1	1	0	1
762_levodopa	1	1	1	1	1	1	1	1	1	1	1	1
1004_cyclophosphamide	1	1	1	1	1	1	1	1	1	1	1	1
1032_cyclophosphamide	1	1	1	1	1	1	1	1	1	1	1	1
1034_cyp	1	1	1	1	0	0	1	1	0	0	1	0
1105_cyp	1	0	1	1	0	0	1	0	0	0	1	0
1128_cyp	1	0	1	1	0	0	0	0	0	0	0	0
1142_suramin	1	1	1	1	1	1	1	1	1	1	1	0
1144_gr	1	1	1	1	1	1	1	1	1	1	1	1
1145_82334	1	1	1	1	1	1	0	1	0	1	0	0
1155_cyp	1	1	1	1	0	0	0	0	0	0	0	0
1216_cyclophosphamide	1	1	1	1	1	1	1	1	1	1	1	1
1366_cyp	1	0	1	1	0	0	1	1	0	0	0	1
1406_clopidogrel	1	1	1	1	1	1	1	1	1	1	1	1
1447_clopidogrel	1	1	1	1	1	1	1	1	1	1	1	1
1476_clopidogrel	1	1	1	1	1	1	1	1	1	1	1	1
1513_clopidogrel	1	1	1	1	1	1	1	1	1	1	1	1
1518_bortezomib	1	1	1	1	1	0	1	1	1	1	1	1
1520_dexamethasone	1	1	1	1	1	1	1	1	1	1	1	1
1542_bortezomib	1	1	1	1	1	0	1	1	1	1	1	1
1544_bort	1	1	1	1	1	0	0	0	1	1	1	0
1547_dexamethasone	1	1	1	1	1	1	1	1	1	1	1	1
1549_dex	1	1	1	1	1	1	1	1	1	1	1	1
1578_bort	1	1	1	1	0	0	0	0	1	1	0	0
1604_dex	1	1	1	1	1	1	1	1	1	1	1	1
1616_bort	0	0	0	0	0	0	0	0	1	1	0	0
1670_bort	1	1	1	1	0	1	0	0	1	1	0	0
1672_dex	0	0	0	0	1	0	1	1	1	1	0	1
1679_bort	1	0	0	1	1	0	0	0	1	1	0	0
1681_dex	1	1	1	1	1	1	1	1	0	1	1	1
1856_bort	1	1	1	1	0	1	0	1	1	1	0	0
1858_dex	0	0	0	0	1	0	1	1	1	1	0	0
1867_bort	1	1	1	1	1	0	0	1	1	1	0	0
1869_dex	1	0	0	0	1	1	1	1	0	1	1	1
1890_bisphenol	1	1	1	1	1	1	1	1	1	1	1	0
1891_a	1	1	1	1	0	0	0	0	0	1	0	0
1913_bisphenol	1	1	1	1	1	1	1	1	1	1	1	0
1914_a	1	1	1	1	0	0	0	0	1	1	1	0
1916_bpa	1	1	1	1	1	1	1	0	1	1	0	0
1958_bpa	1	1	1	1	0	1	1	0	1	1	0	0
1979_bpa	1	1	1	1	0	0	0	0	1	1	0	0
2053_bpa	1	1	1	1	1	1	1	0	1	1	0	0
2067_bpa	1	1	1	1	1	1	0	1	1	1	0	0
2093_bpa	1	1	1	1	1	1	0	1	1	1	0	0
2190_isoproterenol	1	1	1	1	1	1	1	1	1	1	1	1
2202_isoproterenol	1	1	1	1	1	1	1	1	1	1	1	1
2231_lactate	1	1	1	1	1	1	1	1	1	1	0	1
2234_creatine	1	1	1	1	1	1	1	1	1	1	1	1
2237_alanine	1	1	1	1	1	1	1	1	1	1	1	1
2240_aspartate	1	1	1	1	1	1	1	1	1	1	1	1
2244_angiotensin	1	1	1	1	1	1	1	1	1	1	1	1
2251_cholesterol	1	1	1	1	1	1	1	1	1	1	1	1
2253_triglycerides	1	1	1	1	1	1	1	0	0	0	1	1
2257_fatty	1	1	0	1	1	0	1	1	1	1	1	0
2258_acid	1	1	1	1	1	0	1	1	1	1	1	0
2262_malondialdehyde	1	1	1	1	1	1	1	1	1	1	1	1
2264_mda	0	1	1	1	1	1	1	1	1	0	1	0
2268_nitric	1	1	1	1	1	1	1	1	1	1	1	1
2269_oxide	1	1	1	1	1	1	1	1	1	1	1	1
2278_glutathione	1	1	1	1	1	1	1	1	1	1	1	1
2280_superoxide	1	1	1	1	1	1	1	1	1	1	1	1
2320_isoproterenol	1	1	1	1	1	1	1	1	1	1	1	1
2329_captopril	1	1	1	1	1	1	1	1	1	1	1	1
2345_angiotensin	1	1	1	1	1	1	1	1	1	1	1	1
2385_mda	1	1	1	1	1	1	1	1	1	0	1	1
2393_isoproterenol	1	1	1	1	1	1	1	1	1	1	1	1
2430_lenalidomide	1	1	1	1	1	1	1	1	1	1	1	1
2432_dexamethasone	1	1	1	1	1	1	1	1	1	1	1	1
2461_lenalidomide	1	1	1	1	1	1	1	1	1	1	1	1
2463_dexamethasone	1	1	1	1	1	1	1	1	1	1	1	1
2465_rd	0	1	1	1	0	0	0	0	0	0	0	0
2525_rd	0	0	0	0	0	0	0	0	0	0	0	0
2581_rd	1	0	0	0	0	0	0	0	0	0	0	0
2618_thalidomide	1	1	1	1	1	1	1	1	1	1	1	1
2620_bortezomib	1	1	1	1	1	0	1	1	1	1	1	1
2641_rd	0	0	0	0	0	0	0	0	0	0	0	0
2779_lenalidomide	1	1	1	1	1	1	1	1	1	1	1	1
2805_rd	0	0	0	0	0	0	0	0	0	0	0	0
2845_ifosfamide	1	1	1	1	1	1	1	1	1	1	1	1
2847_mesna	1	1	1	1	1	1	1	1	1	1	1	0
2867_ifosfamide	1	1	1	1	1	1	1	1	1	1	1	1
2869_ifo	1	1	1	1	1	0	1	1	1	1	1	0
2874_nitrogen	0	0	0	0	1	0	1	0	1	0	1	0
2903_ifo	1	1	1	1	0	0	1	0	1	1	0	1
2913_sodium	1	1	1	1	1	1	1	1	1	1	1	1
2914_2	1	1	1	1	1	1	1	1	1	1	1	1
2915_-	1	1	1	1	1	1	1	1	1	1	1	1
2916_sulfanylethanesulfonate	1	1	1	1	1	1	1	1	1	1	1	1
2918_mesna	1	1	1	1	1	1	1	1	1	1	1	1
2929_ifo	1	1	1	1	1	0	1	0	1	1	0	0
2931_mesna	1	1	1	1	1	1	1	1	1	1	1	1
2974_mesna	1	1	1	1	1	1	1	1	1	1	1	0
2982_ifo	1	1	1	1	0	0	1	0	1	1	0	0
2997_ifo	1	1	1	1	0	0	1	0	1	1	0	1
3012_mesna	1	1	1	1	1	1	1	1	1	1	1	1
3026_ifo	1	1	1	1	0	0	0	0	1	1	0	0
3037_mesna	1	1	1	1	1	1	1	1	1	1	1	1
3040_ifo	1	1	1	1	0	0	0	0	1	1	0	0
3071_levodopa	1	1	1	1	1	1	1	1	1	1	1	1
3087_levodopa	1	1	1	1	1	1	1	1	1	1	1	1
3115_levodopa	1	1	1	1	1	1	1	1	1	1	1	1
3144_levodopa	1	1	1	1	1	1	1	1	1	1	1	1
3232_levodopa	1	1	1	1	1	1	1	1	1	1	1	1
3294_levodopa	1	1	1	1	1	1	1	1	1	1	1	1
3318_levodopa	1	1	1	1	1	1	1	1	1	1	1	1
3355_levodopa	1	1	1	1	1	1	1	1	1	1	1	1
3364_levodopa	1	1	1	1	1	1	1	1	1	1	1	1
3374_levodopa	1	1	1	1	1	1	1	1	1	1	1	1
3393_levodopa	1	1	1	1	1	1	1	1	1	1	1	1
3398_levodopa	1	1	1	1	1	1	1	1	1	1	1	1
3419_everolimus	1	1	1	1	1	1	1	1	1	1	1	1
3438_rapamycin	1	1	1	1	1	1	1	1	1	1	1	1
3517_tacrolimus	1	1	1	1	1	1	1	1	1	1	1	1
3519_everolimus	1	1	1	1	1	1	1	1	1	1	1	1
3537_tenofovir	1	1	1	1	1	1	1	1	1	1	1	1
3538_disoproxil	1	1	1	1	1	1	1	1	1	1	1	0
3539_fumarate	1	1	1	1	1	1	1	1	1	1	1	0
3557_tenofovir	1	1	1	1	1	1	1	1	1	1	1	1
3605_tenofovir	1	1	1	1	1	1	1	1	1	1	1	1
3606_disoproxil	1	1	1	1	1	1	1	1	1	1	1	0
3607_fumarate	1	1	1	1	1	1	1	1	1	1	1	0
3609_tdf	1	1	1	1	1	0	1	1	1	1	0	0
3670_tdf	1	0	0	1	0	0	0	0	0	1	0	0
3716_tdf	1	0	0	1	0	0	1	1	1	1	0	0
3735_tdf	1	0	0	1	0	0	0	0	0	1	0	0
