Token	True Label	Predicted Label
famotidine	B-chem	B-chem
-	O	O
associated	O	O
delirium	O	O
.	O	O

a	O	O
series	O	O
of	O	O
six	O	O
cases	O	O
.	O	O

famotidine	B-chem	B-chem
is	O	O
a	O	O
histamine	O	B-chem
h2	O	O
-	O	O
receptor	O	O
antagonist	O	O
used	O	O
in	O	O
inpatient	O	O
settings	O	O
for	O	O
prevention	O	O
of	O	O
stress	O	O
ulcers	O	O
and	O	O
is	O	O
showing	O	O
increasing	O	O
popularity	O	O
because	O	O
of	O	O
its	O	O
low	O	O
cost	O	O
.	O	O

although	O	O
all	O	O
of	O	O
the	O	O
currently	O	O
available	O	O
h2	O	O
-	O	O
receptor	O	O
antagonists	O	O
have	O	O
shown	O	O
the	O	O
propensity	O	O
to	O	O
cause	O	O
delirium	O	O
,	O	O
only	O	O
two	O	O
previously	O	O
reported	O	O
cases	O	O
have	O	O
been	O	O
associated	O	O
with	O	O
famotidine	B-chem	B-chem
.	O	O

the	O	O
authors	O	O
report	O	O
on	O	O
six	O	O
cases	O	O
of	O	O
famotidine	B-chem	B-chem
-	O	O
associated	O	O
delirium	O	O
in	O	O
hospitalized	O	O
patients	O	O
who	O	O
cleared	O	O
completely	O	O
upon	O	O
removal	O	O
of	O	O
famotidine	B-chem	B-chem
.	O	O

the	O	O
pharmacokinetics	O	O
of	O	O
famotidine	B-chem	B-chem
are	O	O
reviewed	O	O
,	O	O
with	O	O
no	O	O
change	O	O
in	O	O
its	O	O
metabolism	O	O
in	O	O
the	O	O
elderly	O	O
population	O	O
seen	O	O
.	O	O

the	O	O
implications	O	O
of	O	O
using	O	O
famotidine	B-chem	B-chem
in	O	O
elderly	O	O
persons	O	O
are	O	O
discussed	O	O
.	O	O

indomethacin	B-chem	B-chem
induced	O	O
hypotension	O	O
in	O	O
sodium	B-chem	B-chem
and	O	O
volume	O	O
depleted	O	O
rats	O	O
.	O	O

after	O	O
a	O	O
single	O	O
oral	O	O
dose	O	O
of	O	O
4	O	O
mg	O	O
/	O	O
kg	O	O
indomethacin	B-chem	B-chem
(	O	O
idm	B-chem	B-chem
)	O	O
to	O	O
sodium	B-chem	B-chem
and	O	O
volume	O	O
depleted	O	O
rats	O	O
plasma	O	O
renin	O	O
activity	O	O
(	O	O
pra	O	B-chem
)	O	O
and	O	O
systolic	O	O
blood	O	O
pressure	O	O
fell	O	O
significantly	O	O
within	O	O
four	O	O
hours	O	O
.	O	O

in	O	O
sodium	B-chem	B-chem
repleted	O	O
animals	O	O
indomethacin	B-chem	B-chem
did	O	O
not	O	O
change	O	O
systolic	O	O
blood	O	O
pressure	O	O
(	O	O
bp	O	O
)	O	O
although	O	O
plasma	O	O
renin	O	O
activity	O	O
was	O	O
decreased	O	O
.	O	O

thus	O	O
,	O	O
indomethacin	B-chem	B-chem
by	O	O
inhibition	O	O
of	O	O
prostaglandin	B-chem	B-chem
synthesis	O	O
may	O	O
diminish	O	O
the	O	O
blood	O	O
pressure	O	O
maintaining	O	O
effect	O	O
of	O	O
the	O	O
stimulated	O	O
renin	O	O
-	O	O
angiotensin	B-chem	B-chem
system	O	O
in	O	O
sodium	B-chem	B-chem
and	O	O
volume	O	O
depletion	O	O
.	O	O

late	O	O
-	O	O
onset	O	O
scleroderma	O	O
renal	O	O
crisis	O	O
induced	O	O
by	O	O
tacrolimus	B-chem	B-chem
and	O	O
prednisolone	B-chem	B-chem
:	O	O
a	O	O
case	O	O
report	O	O
.	O	O

scleroderma	O	O
renal	O	O
crisis	O	O
(	O	O
src	O	O
)	O	O
is	O	O
a	O	O
rare	O	O
complication	O	O
of	O	O
systemic	O	O
sclerosis	O	O
(	O	O
ssc	O	O
)	O	O
but	O	O
can	O	O
be	O	O
severe	O	O
enough	O	O
to	O	O
require	O	O
temporary	O	O
or	O	O
permanent	O	O
renal	O	O
replacement	O	O
therapy	O	O
.	O	O

moderate	O	O
to	O	O
high	O	O
dose	O	O
corticosteroid	B-chem	O
use	O	O
is	O	O
recognized	O	O
as	O	O
a	O	O
major	O	O
risk	O	O
factor	O	O
for	O	O
src	O	O
.	O	O

furthermore	O	O
,	O	O
there	O	O
have	O	O
been	O	O
reports	O	O
of	O	O
thrombotic	O	O
microangiopathy	O	O
precipitated	O	O
by	O	O
cyclosporine	B-chem	B-chem
in	O	O
patients	O	O
with	O	O
ssc	O	O
.	O	O

in	O	O
this	O	O
article	O	O
,	O	O
we	O	O
report	O	O
a	O	O
patient	O	O
with	O	O
src	O	O
induced	O	O
by	O	O
tacrolimus	B-chem	B-chem
and	O	O
corticosteroids	B-chem	O
.	O	O

the	O	O
aim	O	O
of	O	O
this	O	O
work	O	O
is	O	O
to	O	O
call	O	O
attention	O	O
to	O	O
the	O	O
risk	O	O
of	O	O
tacrolimus	B-chem	B-chem
use	O	O
in	O	O
patients	O	O
with	O	O
ssc	O	O
.	O	O

the	O	O
risk	O	O
and	O	O
associated	O	O
factors	O	O
of	O	O
methamphetamine	B-chem	B-chem
psychosis	O	O
in	O	O
methamphetamine	B-chem	B-chem
-	O	O
dependent	O	O
patients	O	O
in	O	O
malaysia	O	O
.	O	O

objective	O	O
:	O	O
the	O	O
objective	O	O
of	O	O
this	O	O
study	O	O
was	O	O
to	O	O
determine	O	O
the	O	O
risk	O	O
of	O	O
lifetime	O	O
and	O	O
current	O	O
methamphetamine	B-chem	B-chem
-	O	O
induced	O	O
psychosis	O	O
in	O	O
patients	O	O
with	O	O
methamphetamine	B-chem	B-chem
dependence	O	O
.	O	O

the	O	O
association	O	O
between	O	O
psychiatric	O	O
co	O	O
-	O	O
morbidity	O	O
and	O	O
methamphetamine	B-chem	B-chem
-	O	O
induced	O	O
psychosis	O	O
was	O	O
also	O	O
studied	O	O
.	O	O

methods	O	O
:	O	O

this	O	O
was	O	O
a	O	O
cross	O	O
-	O	O
sectional	O	O
study	O	O
conducted	O	O
concurrently	O	O
at	O	O
a	O	O
teaching	O	O
hospital	O	O
and	O	O
a	O	O
drug	O	O
rehabilitation	O	O
center	O	O
in	O	O
malaysia	O	O
.	O	O

patients	O	O
with	O	O
the	O	O
diagnosis	O	O
of	O	O
methamphetamine	B-chem	B-chem
based	O	O
on	O	O
dsm	O	O
-	O	O
iv	O	O
were	O	O
interviewed	O	O
using	O	O
the	O	O
mini	O	O
international	O	O
neuropsychiatric	O	O
interview	O	O
(	O	O
m	O	O
.	O	O
i	O	O
.	O	O
n	O	O
.	O	O
i	O	O
.	O	O
)	O	O
for	O	O
methamphetamine	B-chem	B-chem
-	O	O
induced	O	O
psychosis	O	O
and	O	O
other	O	O
axis	O	O
i	O	O
psychiatric	O	O
disorders	O	O
.	O	O

the	O	O
information	O	O
on	O	O
sociodemographic	O	O
background	O	O
and	O	O
drug	O	O
use	O	O
history	O	O
was	O	O
obtained	O	O
from	O	O
interview	O	O
or	O	O
medical	O	O
records	O	O
.	O	O

results	O	O
:	O	O

of	O	O
292	O	O
subjects	O	O
,	O	O
47	O	O
.	O	O
9	O	O
%	O	O
of	O	O
the	O	O
subjects	O	O
had	O	O
a	O	O
past	O	O
history	O	O
of	O	O
psychotic	O	O
symptoms	O	O
and	O	O
13	O	O
.	O	O
0	O	O
%	O	O
of	O	O
the	O	O
patients	O	O
were	O	O
having	O	O
current	O	O
psychotic	O	O
symptoms	O	O
.	O	O

co	O	O
-	O	O
morbid	O	O
major	O	O
depressive	O	O
disorder	O	O

(	O	O
or	O	O
=	O	O
7	O	O
.	O	O
18	O	O
,	O	O
95	O	O
ci	O	O
=	O	O
2	O	O
.	O	O
612	O	O
-	O	O
19	O	O
.	O	O
708	O	O
)	O	O
,	O	O
bipolar	O	O
disorder	O	O
(	O	O
or	O	O
=	O	O
13	O	O
.	O	O
807	O	O
,	O	O
95	O	O
ci	O	O
=	O	O
5	O	O
.	O	O
194	O	O
-	O	O
36	O	O
.	O	O
706	O	O
)	O	O
,	O	O
antisocial	O	O
personality	O	O
disorder	O	O
(	O	O
or	O	O
=	O	O
12	O	O
.	O	O
619	O	O
,	O	O
95	O	O
ci	O	O
=	O	O
6	O	O
.	O	O
702	O	O
-	O	O
23	O	O
.	O	O
759	O	O
)	O	O
and	O	O
heavy	O	O
methamphetamine	B-chem	B-chem
uses	O	O
were	O	O
significantly	O	O
associated	O	O
with	O	O
lifetime	O	O
methamphetamine	B-chem	B-chem
-	O	O
induced	O	O
psychosis	O	O
after	O	O
adjusted	O	O
for	O	O
other	O	O
factors	O	O
.	O	O

major	O	O
depressive	O	O
disorder	O	O
(	O	O
or	O	O
=	O	O
2	O	O
.	O	O
870	O	O
,	O	O
ci	O	O
=	O	O
1	O	O
.	O	O
154	O	O
-	O	O
7	O	O
.	O	O
142	O	O
)	O	O
and	O	O
antisocial	O	O
personality	O	O
disorder	O	O
(	O	O
or	O	O
=	O	O
3	O	O
.	O	O
299	O	O
,	O	O
95	O	O
ci	O	O
=	O	O
1	O	O
.	O	O
375	O	O
-	O	O
7	O	O
.	O	O
914	O	O
)	O	O
were	O	O
the	O	O
only	O	O
factors	O	O
associated	O	O
with	O	O
current	O	O
psychosis	O	O
.	O	O

conclusion	O	O
:	O	O

there	O	O
was	O	O
a	O	O
high	O	O
risk	O	O
of	O	O
psychosis	O	O
in	O	O
patients	O	O
with	O	O
methamphetamine	B-chem	B-chem
dependence	O	O
.	O	O

it	O	O
was	O	O
associated	O	O
with	O	O
co	O	O
-	O	O
morbid	O	O
affective	O	O
disorder	O	O
,	O	O
antisocial	O	O
personality	O	O
,	O	O
and	O	O
heavy	O	O
methamphetamine	B-chem	B-chem
use	O	O
.	O	O

it	O	O
is	O	O
recommended	O	O
that	O	O
all	O	O
cases	O	O
of	O	O
methamphetamine	B-chem	B-chem
dependence	O	O
should	O	O
be	O	O
screened	O	O
for	O	O
psychotic	O	O
symptoms	O	O
.	O	O

cerebellar	O	O
sensory	O	O
processing	O	O
alterations	O	O
impact	O	O
motor	O	O
cortical	O	O
plasticity	O	O
in	O	O
parkinson	O	O
'	O	O
s	O	O
disease	O	O
:	O	O
clues	O	O
from	O	O
dyskinetic	O	O
patients	O	O
.	O	O

the	O	O
plasticity	O	O
of	O	O
primary	O	O
motor	O	O
cortex	O	O
(	O	O
m1	O	O
)	O	O
in	O	O
patients	O	O
with	O	O
parkinson	O	O
'	O	O
s	O	O
disease	O	O
(	O	O
pd	O	O
)	O	O
and	O	O
levodopa	B-chem	B-chem
-	O	O
induced	O	O
dyskinesias	O	O
(	O	O
lids	O	O
)	O	O
is	O	O
severely	O	O
impaired	O	O
.	O	O

we	O	O
recently	O	O
reported	O	O
in	O	O
young	O	O
healthy	O	O
subjects	O	O
that	O	O
inhibitory	O	O
cerebellar	O	O
stimulation	O	O
enhanced	O	O
the	O	O
sensorimotor	O	O
plasticity	O	O
of	O	O
m1	O	O
that	O	O
was	O	O
induced	O	O
by	O	O
paired	O	O
associative	O	O
stimulation	O	O
(	O	O
pas	O	O
)	O	O
.	O	O

this	O	O
study	O	O
demonstrates	O	O
that	O	O
the	O	O
deficient	O	O
sensorimotor	O	O
m1	O	O
plasticity	O	O
in	O	O
16	O	O
patients	O	O
with	O	O
lids	O	O
could	O	O
be	O	O
reinstated	O	O
by	O	O
a	O	O
single	O	O
session	O	O
of	O	O
real	O	O
inhibitory	O	O
cerebellar	O	O
stimulation	O	O
but	O	O
not	O	O
sham	O	O
stimulation	O	O
.	O	O

this	O	O
was	O	O
evident	O	O
only	O	O
when	O	O
a	O	O
sensory	O	O
component	O	O
was	O	O
involved	O	O
in	O	O
the	O	O
induction	O	O
of	O	O
plasticity	O	O
,	O	O
indicating	O	O
that	O	O
cerebellar	O	O
sensory	O	O
processing	O	O
function	O	O
is	O	O
involved	O	O
in	O	O
the	O	O
resurgence	O	O
of	O	O
m1	O	O
plasticity	O	O
.	O	O

the	O	O
benefit	O	O
of	O	O
inhibitory	O	O
cerebellar	O	O
stimulation	O	O
on	O	O
lids	O	O
is	O	O
known	O	O
.	O	O

to	O	O
explore	O	O
whether	O	O
this	O	O
benefit	O	O
is	O	O
linked	O	O
to	O	O
the	O	O
restoration	O	O
of	O	O
sensorimotor	O	O
plasticity	O	O
of	O	O
m1	O	O
,	O	O
we	O	O
conducted	O	O
an	O	O
additional	O	O
study	O	O
looking	O	O
at	O	O
changes	O	O
in	O	O
lids	O	O
and	O	O
pas	O	O
-	O	O
induced	O	O
plasticity	O	O
after	O	O
10	O	O
sessions	O	O
of	O	O
either	O	O
bilateral	O	O
,	O	O
real	O	O
inhibitory	O	O
cerebellar	O	O
stimulation	O	O
or	O	O
sham	O	O
stimulation	O	O
.	O	O

only	O	O
real	O	O
and	O	O
not	O	O
sham	O	O
stimulation	O	O
had	O	O
an	O	O
antidyskinetic	O	O
effect	O	O
and	O	O
it	O	O
was	O	O
paralleled	O	O
by	O	O
a	O	O
resurgence	O	O
in	O	O
the	O	O
sensorimotor	O	O
plasticity	O	O
of	O	O
m1	O	O
.	O	O

these	O	O
results	O	O
suggest	O	O
that	O	O
alterations	O	O
in	O	O
cerebellar	O	O
sensory	O	O
processing	O	O
function	O	O
,	O	O
occurring	O	O
secondary	O	O
to	O	O
abnormal	O	O
basal	O	O
ganglia	O	O
